,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
604,308,88,115,175,163,72,136,104
605,303,83,118,176,161,71,134,105
606,308,89,117,175,163,74,131,103
607,304,102,115,175,163,74,136,103
608,305,90,120,175,159,73,134,104
609,304,76,115,175,163,72,140,105
610,299,91,118,176,172,73,131,103
611,303,100,120,175,159,73,134,104
612,303,94,118,176,161,73,134,104
613,304,88,115,175,163,73,132,106
614,303,75,115,175,163,72,131,103
615,303,87,118,176,164,73,131,103
616,304,98,116,176,161,73,135,104
617,303,86,118,180,164,73,131,103
618,299,83,118,184,161,73,131,105
619,303,98,120,176,161,71,134,105
620,304,91,118,176,161,73,134,112
621,299,74,120,175,163,76,133,103
622,304,91,117,175,159,73,134,104
623,304,97,120,175,163,73,135,104
624,303,83,118,176,168,73,131,103
625,302,93,118,177,162,80,136,103
626,304,91,115,175,159,73,135,104
627,302,85,118,180,161,71,133,103
628,295,92,117,177,164,76,133,103
629,304,103,120,176,161,71,134,104
630,302,85,118,176,161,71,134,104
631,302,89,118,177,162,80,136,103
632,304,106,115,177,163,72,140,105
633,297,88,115,175,163,73,134,104
634,295,74,124,175,163,73,134,104
635,297,104,115,175,163,72,136,103
636,304,92,118,177,162,74,136,105
637,302,87,118,176,172,75,133,103
638,302,103,120,175,159,73,134,105
639,295,80,117,177,163,72,140,105
640,304,90,117,176,164,71,135,104
641,302,86,118,180,164,73,131,103
642,308,89,115,175,163,74,131,103
643,295,92,117,180,160,80,132,103
644,302,90,123,173,168,72,135,101
645,300,90,116,175,162,73,134,103
646,306,88,122,176,163,72,135,104
647,297,77,115,181,160,73,132,103
648,299,90,117,176,161,77,132,104
649,302,87,116,175,164,73,138,101
650,300,102,116,175,163,73,137,102
651,305,88,124,176,163,72,135,104
652,301,87,118,176,159,73,133,109
653,302,77,122,173,168,72,135,102
654,301,86,117,175,165,72,135,101
655,300,87,116,175,163,71,137,102
656,303,98,117,176,161,74,133,109
657,295,91,115,179,160,73,134,103
658,305,86,118,176,163,72,135,106
659,308,72,126,176,163,72,135,104
660,303,85,121,175,168,72,135,101
661,305,84,118,176,163,72,135,106
662,295,88,118,176,164,73,131,104
663,304,88,115,177,163,80,136,103
664,297,89,118,178,168,73,131,103
665,295,93,118,177,161,73,140,103
666,297,85,118,177,161,73,134,104
667,295,87,118,177,162,76,133,103
668,300,104,118,177,163,73,135,108
669,301,91,124,176,161,73,135,104
670,301,92,118,176,164,71,135,112
671,297,102,115,175,164,73,134,106
672,300,87,118,176,163,71,134,108
673,300,85,118,177,162,80,136,104
674,300,105,121,175,164,76,133,104
675,300,96,117,175,164,73,134,104
676,304,91,118,176,161,71,135,103
677,295,92,115,175,163,73,135,104
678,304,96,118,175,164,72,136,103
679,300,83,115,176,164,73,131,104
680,300,89,118,176,172,72,131,103
681,300,94,115,175,164,73,135,104
