,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
596,243,96,117,180,174,73,139,98
597,239,80,118,180,174,73,139,98
598,246,76,118,180,174,71,135,104
599,246,92,117,180,174,76,137,97
600,240,88,116,180,172,73,140,96
601,239,95,116,181,170,73,136,98
602,248,91,115,179,174,73,140,99
603,241,90,124,177,171,73,139,96
604,246,87,119,180,176,76,139,97
605,239,84,117,179,171,73,139,97
606,246,87,119,188,171,71,139,99
607,245,92,120,175,174,73,138,100
608,248,92,117,175,173,73,139,98
609,246,98,121,175,173,73,139,98
610,247,89,119,184,171,73,139,98
611,247,96,118,180,174,80,139,97
612,243,77,119,177,174,73,140,97
613,247,87,119,177,174,73,140,97
614,247,96,119,180,174,76,137,98
615,243,105,119,180,176,71,135,98
616,248,94,117,175,174,73,139,98
617,248,76,118,179,171,73,139,98
618,249,89,118,184,171,71,137,97
619,248,94,119,184,171,73,138,97
620,243,98,118,180,174,76,137,97
621,252,84,119,180,180,73,135,97
622,247,86,118,184,171,73,139,98
623,248,95,118,177,173,73,138,98
624,243,101,118,177,174,73,138,96
625,248,91,120,177,171,71,139,98
626,243,90,117,180,171,71,138,102
627,248,104,120,179,174,73,138,104
628,248,96,117,180,174,74,138,98
629,248,76,115,180,174,80,140,97
630,243,97,117,180,172,76,135,97
631,243,98,117,180,174,73,139,98
632,248,87,119,177,171,73,139,98
633,248,87,115,177,171,73,138,98
634,248,106,124,177,174,73,139,105
635,248,87,118,177,174,73,139,100
636,243,87,119,180,176,71,135,98
637,248,91,119,184,171,73,139,98
638,248,91,117,175,174,73,138,104
639,247,91,120,177,171,71,139,98
640,247,96,119,180,172,76,137,97
641,248,78,118,180,173,80,138,97
642,248,89,118,179,171,71,139,98
643,247,91,120,177,171,73,139,104
644,247,96,119,180,171,73,139,98
645,247,100,118,180,172,73,135,98
646,247,75,119,188,171,71,139,104
647,247,99,119,180,176,71,139,99
648,248,89,124,177,174,72,139,97
649,252,91,115,180,174,73,144,98
650,243,91,118,177,171,73,138,99
651,248,92,121,175,174,73,138,104
652,248,108,119,184,171,73,138,98
653,248,80,117,180,174,73,135,98
654,247,102,118,179,174,80,137,95
655,248,87,118,177,171,73,139,98
656,243,101,118,180,176,71,139,98
657,248,76,118,177,171,73,139,98
658,243,99,118,175,174,72,139,97
659,239,77,119,180,171,71,139,99
660,239,106,120,181,174,72,148,97
661,240,105,116,180,172,73,139,97
662,245,89,123,176,174,70,139,100
663,242,99,117,175,174,73,139,99
664,244,91,117,175,174,73,144,97
665,239,95,118,184,171,71,135,97
666,244,83,117,180,174,74,135,97
667,242,89,115,180,174,72,144,97
668,242,96,115,180,176,71,135,98
669,248,78,120,177,174,73,138,99
670,241,99,118,177,173,73,139,98
671,241,93,117,180,174,73,139,98
672,248,96,118,180,174,76,137,97
673,244,103,120,177,171,73,139,99
674,248,75,119,177,174,71,139,99
675,245,91,119,180,176,71,135,98
676,245,92,117,180,174,72,140,97
677,252,79,117,175,174,73,139,98
678,245,98,119,180,171,73,139,98
679,239,96,117,180,176,73,139,97
680,245,84,119,179,171,73,139,100
681,245,90,118,177,173,73,138,98
682,239,91,117,180,174,71,135,98
683,243,80,119,180,176,71,135,98
684,239,90,117,180,174,80,135,98
685,239,104,119,180,176,73,135,98
686,239,83,118,177,174,73,138,97
687,248,86,118,177,174,72,144,97
688,239,95,124,179,174,71,139,100
689,245,89,118,179,174,72,144,100
690,248,87,124,175,174,73,139,98
691,248,98,117,180,173,74,140,97
692,248,93,118,177,174,73,136,97
693,241,81,118,180,174,77,139,97
694,244,93,120,177,174,73,139,98
695,244,108,119,188,171,73,139,101
696,244,91,115,180,174,72,137,99
697,243,88,119,180,180,73,135,97
698,245,93,120,180,174,71,139,98
699,245,93,117,180,176,71,135,98
700,239,99,121,179,174,76,135,98
701,239,89,118,179,171,73,139,98
702,245,75,118,175,174,76,135,98
703,241,86,118,177,171,73,139,98
704,248,104,118,180,171,71,139,98
705,246,96,119,180,174,75,137,97
706,245,94,115,179,174,73,139,98
707,245,81,124,177,171,73,139,98
708,244,90,117,180,176,73,135,98
709,248,88,118,180,174,72,139,97
710,241,106,118,180,174,76,135,99
711,245,87,118,180,180,73,135,97
712,243,93,115,180,180,71,139,105
713,244,103,117,175,173,73,139,98
714,245,93,120,175,173,76,135,98
715,244,90,118,177,171,73,139,98
716,239,85,118,179,174,72,135,98
717,245,79,120,177,173,73,140,97
718,243,87,120,177,174,73,139,98
719,245,90,119,180,171,77,136,98
720,246,88,125,176,174,72,139,99
721,245,90,119,176,174,71,144,97
722,243,91,116,180,172,73,143,96
723,249,89,121,179,178,72,139,98
724,250,88,124,177,175,73,136,98
725,247,94,119,181,171,78,136,99
726,247,88,119,176,174,73,137,102
727,240,101,116,186,170,75,137,98
728,250,96,120,179,175,72,139,96
729,245,95,119,178,174,72,137,102
730,249,93,118,179,175,72,145,96
731,245,89,119,180,173,75,136,98
732,240,89,117,185,171,73,137,99
733,241,76,119,184,173,73,137,95
734,239,78,115,180,171,73,138,97
735,248,74,124,175,174,72,144,99
736,248,73,120,180,174,71,139,97
737,245,74,119,180,176,73,137,97
738,241,84,119,184,171,73,148,100
739,252,89,118,184,171,71,139,98
740,248,94,118,181,176,71,139,98
741,244,90,119,184,171,71,139,99
742,239,92,119,177,174,73,138,97
743,241,92,115,180,174,72,144,97
744,241,104,119,180,180,73,135,97
745,239,108,120,180,174,71,139,97
746,244,91,120,177,171,73,139,98
747,241,87,119,180,172,76,139,97
748,243,91,119,180,171,73,140,97
749,248,90,118,188,171,71,139,98
750,244,92,120,177,171,71,139,98
751,245,95,117,180,171,73,138,97
752,246,95,120,180,176,71,138,97
753,244,94,119,177,174,71,139,98
754,241,87,115,180,171,72,139,100
755,248,80,118,180,176,72,139,98
756,241,90,120,179,174,72,137,98
757,248,92,119,180,171,73,138,101
758,243,97,118,179,174,76,137,98
759,241,87,119,180,176,71,135,97
760,252,79,115,180,174,72,138,98
