,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
619,276,91,125,188,191,80,139,122
620,277,89,126,188,192,74,139,122
621,276,99,128,183,191,74,144,121
622,277,90,128,187,191,74,139,122
623,273,91,123,188,200,73,142,122
624,276,93,123,188,191,74,144,119
625,277,87,126,192,192,75,139,119
626,280,74,123,187,191,75,142,128
627,277,91,126,185,191,75,144,121
628,271,101,126,192,187,76,142,121
629,271,92,123,188,191,82,141,119
630,271,91,126,192,187,74,142,122
631,277,93,125,183,191,75,142,124
632,273,87,123,188,191,80,139,119
633,276,93,123,188,190,76,139,122
634,277,95,123,188,191,74,144,121
635,271,96,127,188,192,74,142,123
636,276,91,128,183,191,74,144,119
637,277,71,126,192,187,74,142,122
638,280,95,126,188,187,75,140,119
639,273,92,126,188,192,77,139,122
640,271,75,126,188,192,74,142,122
641,276,97,126,185,191,75,142,122
642,273,90,123,188,196,75,139,122
643,277,96,126,185,191,75,144,120
644,276,90,128,183,191,75,144,128
645,271,91,126,192,187,75,142,128
646,271,98,126,188,192,73,142,122
647,273,96,125,188,191,74,144,119
648,276,105,126,185,191,74,139,122
649,276,94,125,188,190,80,139,119
650,271,111,126,187,192,75,142,121
651,276,87,126,192,187,75,142,122
652,271,93,123,194,192,75,140,122
653,277,90,126,184,191,75,139,126
654,274,89,127,187,192,75,147,120
655,273,96,127,192,187,75,142,122
656,276,91,123,188,192,74,142,124
657,276,91,126,185,191,75,140,121
658,271,87,126,183,191,74,139,122
659,276,113,125,187,191,76,142,124
660,273,77,126,185,191,75,144,119
661,276,94,128,187,191,80,139,122
662,280,94,125,188,192,73,141,122
663,271,80,126,188,190,77,139,119
664,276,92,126,185,191,74,139,122
665,276,90,124,185,191,76,142,121
666,277,95,123,188,187,76,140,119
667,273,99,126,188,192,73,142,122
668,271,83,126,185,191,74,139,122
669,271,96,126,188,191,74,144,121
670,276,95,125,188,192,75,144,122
671,273,67,127,188,187,75,148,119
672,273,100,123,188,190,75,139,122
673,273,94,125,188,196,73,141,122
674,276,90,123,188,190,80,139,119
675,273,89,126,181,187,74,142,122
676,276,92,126,188,187,75,144,119
677,273,96,126,192,190,75,142,121
678,271,87,132,187,191,74,144,119
679,273,105,126,188,191,74,139,124
680,273,91,124,183,191,75,144,119
681,271,96,124,187,191,73,142,122
682,280,89,123,188,192,74,142,122
683,273,91,126,192,187,75,142,128
684,276,114,126,183,188,74,142,124
685,271,91,126,188,192,73,142,122
686,271,84,125,188,192,74,142,120
687,271,75,126,188,187,75,142,122
688,277,101,126,188,192,74,142,120
689,271,115,132,183,191,76,140,121
690,273,93,123,188,187,76,144,119
